folder,count,lpips_mean
agricultural,100,0.19431774362921714
airplane,100,0.23162567645311355
baseballdiamond,100,0.22772882461547853
beach,100,0.22274185180664063
buildings,100,0.22777095675468445
chaparral,100,0.24228315517306329
denseresidential,100,0.2292933478951454
forest,100,0.3065099947154522
freeway,100,0.20950828231871127
golfcourse,100,0.23187647879123688
harbor,100,0.19917250528931618
intersection,100,0.23211170345544815
mediumresidential,100,0.254834655970335
mobilehomepark,100,0.24172222673892974
overpass,100,0.22321269288659096
parkinglot,100,0.21511875540018083
river,100,0.28676966100931167
runway,100,0.2108776153624058
sparseresidential,100,0.26854816123843195
storagetanks,100,0.2311745537817478
tenniscourt,100,0.22447640769183635
